ZIP,X_COORD,Y_COORD,ZIP_OFFER_NUM,ZIP_OFFER_NUM_LVL,ZIP_RATE_AVG,ZIP_RATE_AVG_LVL,GROUP,LON,LAT
669,-10.89370197846837,4.832951434665927,4,0.16094379124341002,,1,4,-97.85978987901206,39.77259645679805
053,-8.101846286805474,5.30346690631077,5,0.1791759469228055,,1,19,-72.78012349024348,42.94409830688417
169,-8.613333834067815,5.130092731014103,5,0.1791759469228055,,1,0,-77.37489430366915,41.793473008625014
058,-8.027580788949901,5.571585301771235,4,0.16094379124341002,,1,19,-72.11298517217942,44.68192493157904
822,-11.649797027746454,5.212916932384107,4,0.16094379124341002,,1,3,-104.65190726914811,42.34577843471134
046,-7.551377782116789,5.583262085944883,1,0.06931471805599453,,1,19,-67.83518077836084,44.756459037029494
203,-8.572782981128425,4.704746068017404,6,0.19459101490553132,,1,17,-77.01061979387379,38.88174067703343
204,-8.573708987902755,4.709937626927133,1,0.06931471805599453,,1,17,-77.01893825425958,38.91803532175503
246,-9.10636695859411,4.4662473864562,1,0.06931471805599453,,1,2,-81.80388621706089,37.19446436696771
048,-7.694768000897559,5.493461278647818,2,0.10986122886681098,,1,19,-69.12327702960093,44.18078141550324
202,-8.57547402953593,4.70617218884486,2,0.10986122886681098,,1,17,-77.03479389302146,38.89171266117016
102,-8.239281006240379,4.97005462089008,1,0.06931471805599453,,1,8,-74.01472058061402,40.71268452899273
414,-9.25817555093527,4.557026119534691,1,0.06931471805599453,,1,2,-83.16760600466824,37.841265238177215
576,-11.308982444875042,5.690794365803131,1,0.06931471805599453,,1,15,-101.59031778070603,45.43833504135045
878,-12.014467397611645,4.026298520637453,6,0.19459101490553132,,1,14,-107.92779693830231,33.981353419226785
047,-7.6068383641963955,5.862246285147996,6,0.19459101490553132,9.390124092740152,1,19,-68.3333916638436,46.508696252896065
249,-8.938797053100359,4.574984856111239,6,0.19459101490553132,9.358162873972184,1,2,-80.2985801444259,37.9685565244543
101,-8.233018864662341,4.979135173703498,23,0.31780538303479455,9.34765818089305,1,8,-73.95846680570531,40.77448656854342
416,-9.214038261339324,4.515123398711523,13,0.26390573296152586,9.319762890180364,1,2,-82.77111398623175,37.54340396892297
049,-7.790126146166937,5.62218009126455,91,0.45217885770490407,9.163994252183885,1,19,-69.97989382320866,45.00418333849448
566,-10.49940547380091,6.089225304779988,9,0.23025850929940458,9.082919111124106,1,15,-94.31776411283522,47.893921763745176
050,-8.062414683654753,5.443750366747967,79,0.4382026634673881,9.037016977472014,1,19,-72.4259033723672,43.8596632283896
215,-8.802227822135627,4.8024841244868,195,0.5278114659230517,9.031898210562801,1,0,-79.07175786926521,39.56191797462519
830,-12.306998908184218,5.420284042094733,19,0.2995732273553991,9.026567766074068,1,11,-110.55565220864145,43.707473320683796
016,-7.997814567922051,5.202943878474963,244,0.5501258210544727,9.022080312845763,1,19,-71.84559065918145,42.27952860599322
056,-8.082173587343206,5.519848279827783,17,0.28903717578961646,8.99289904484437,1,19,-72.60340062417504,44.35052715075521
910,-13.155203133195801,4.060267130405092,373,0.5924255797414533,8.960423309081113,1,1,-118.17520040246804,34.23400873743228
045,-7.744252293802432,5.464663160415023,324,0.5783825182329737,8.928518161772296,1,19,-69.56780199600387,43.994965787646414
017,-7.954239484788039,5.212461717127987,423,0.6049733455231958,8.924854859349718,1,19,-71.45414902732084,42.34275601200138
126,-8.224672762298482,5.114415616991174,11,0.24849066497880004,8.924637958317362,1,8,-73.8834924925425,41.68839101251909
054,-8.13080707584346,5.558065730589097,142,0.4962844630259907,8.907621921047774,1,19,-73.04028268457333,44.59550819299101
426,-9.442128828313228,4.412348649044846,188,0.5241747015059642,8.868160051009802,1,2,-84.82008641099321,36.807787843986446
042,-7.847162295579148,5.524577620183413,108,0.4691347882229143,8.826729496544678,1,19,-70.49225827085178,44.38089886620854
044,-7.657921019790948,5.6846629648746925,183,0.5214935757608986,8.820505609944025,1,19,-68.79227496658362,45.39967394710083
062,-8.027737652186303,5.132812176304505,603,0.6403574197934815,8.81950255152666,1,19,-72.1143942986072,41.81168365251302
013,-8.074509968993782,5.25030697146992,40,0.3713572066704308,8.819412355366778,1,19,-72.53455716922556,42.59353508983018
025,-7.8506401469332525,5.091072444693784,162,0.5093750200806763,8.810894540841034,1,19,-70.52350034112467,41.531605702492925
052,-8.141435490719763,5.316416264288504,26,0.3295836866004329,8.807809798866314,1,19,-73.1357593598668,43.02919227063953
574,-11.014333295584702,5.677390411376194,71,0.42766661190160554,8.802926617209652,1,15,-98.94343943810277,45.353783079423415
602,-9.762290159963168,5.167959152527748,27,0.3332204510175204,8.799381963456256,1,13,-87.69614458704521,42.046577962671044
424,-9.762868015072582,4.504254043034209,174,0.5164785973923515,8.798309275215887,1,18,-87.70133554781314,37.465944951821164
040,-7.858350071824467,5.430971356309375,498,0.6212606095751518,8.797752796281518,1,19,-70.59275977481657,43.77683351345377
